ERG.site,Stn Id,Stn Name,CIMIS Region,Date,Jul,Precip,max.temp,min.temp,avg.temp,RH.max,RH.min,RH.avg,wind.speed
Barstow,234,Newberry Springs II,San Bernardino,4/16/2015,106,0,22.2,3.3,14.6,30,15,20,2.3
Barstow,234,Newberry Springs II,San Bernardino,4/17/2015,107,0,26.2,6.2,17.9,46,12,20,2.9
Barstow,234,Newberry Springs II,San Bernardino,4/18/2015,108,0,29.5,11.1,20.6,39,10,22,3.5
Barstow,234,Newberry Springs II,San Bernardino,4/19/2015,109,0,30.1,12,21.9,38,11,22,3
Barstow,234,Newberry Springs II,San Bernardino,4/20/2015,110,0,29.6,11.4,21.3,46,13,26,3.2
Barstow,234,Newberry Springs II,San Bernardino,4/21/2015,111,0,23.9,10.4,17.9,55,25,39,3.5
Barstow,234,Newberry Springs II,San Bernardino,4/22/2015,112,0.3,25.1,10.3,16.3,71,28,51,3.5
Barstow,234,Newberry Springs II,San Bernardino,4/23/2015,113,0.6,23.4,10.1,15.9,79,35,58,3.8
Barstow,234,Newberry Springs II,San Bernardino,4/24/2015,114,0,23.2,11.1,16.8,75,31,51,7.5
Barstow,234,Newberry Springs II,San Bernardino,4/25/2015,115,0.4,20.1,12.3,15.4,49,36,43,8.8
Barstow,234,Newberry Springs II,San Bernardino,4/26/2015,116,0,24.5,8.8,16.8,65,19,37,3.3
Barstow,234,Newberry Springs II,San Bernardino,4/27/2015,117,0,26,8.9,18.8,35,12,21,3
Barstow,234,Newberry Springs II,San Bernardino,4/28/2015,118,0,31.7,8.1,21.6,33,12,20,2.7
Barstow,234,Newberry Springs II,San Bernardino,4/29/2015,119,0,34,13.5,25.1,32,11,17,3.2
Barstow,234,Newberry Springs II,San Bernardino,4/30/2015,120,0,34,15.6,25.7,33,11,18,3.1
Barstow,234,Newberry Springs II,San Bernardino,05/01/2015,121,0,32.7,17.2,24.7,28,13,19,4.4
Barstow,234,Newberry Springs II,San Bernardino,05/02/2015,122,0,31.2,17.2,24.4,29,16,21,4.4
Barstow,234,Newberry Springs II,San Bernardino,05/03/2015,123,0,31.2,15.4,23.3,34,15,23,4.4
Barstow,234,Newberry Springs II,San Bernardino,05/04/2015,124,0,29.4,15.4,22,46,18,28,4.8
Barstow,234,Newberry Springs II,San Bernardino,05/05/2015,125,0,29,14.4,20.7,48,21,34,5
Barstow,234,Newberry Springs II,San Bernardino,05/06/2015,126,0,26.5,13.5,19,55,19,37,6.1
Barstow,234,Newberry Springs II,San Bernardino,05/07/2015,127,0.3,21.7,9.1,15.1,58,25,42,7.5
Barstow,234,Newberry Springs II,San Bernardino,05/08/2015,128,0,17.4,7.6,12.4,66,36,50,4.9
Barstow,234,Newberry Springs II,San Bernardino,05/09/2015,129,0.1,25.5,8.8,17.5,73,25,45,4.3
Barstow,234,Newberry Springs II,San Bernardino,05/10/2015,130,0,28.9,11.1,20.8,64,17,32,2.8
Barstow,234,Newberry Springs II,San Bernardino,05/11/2015,131,0,29.9,12.5,22.2,43,18,28,3.6
Barstow,234,Newberry Springs II,San Bernardino,05/12/2015,132,0,27.9,15.1,21.5,40,12,25,5.7
Barstow,234,Newberry Springs II,San Bernardino,5/13/2015,133,0,24.5,10.7,18,54,17,28,4.7
Barstow,234,Newberry Springs II,San Bernardino,5/14/2015,134,0,19.9,9.2,14,69,34,49,6
Barstow,234,Newberry Springs II,San Bernardino,5/15/2015,135,0,19.7,7.2,13.9,71,29,47,4.1
Barstow,234,Newberry Springs II,San Bernardino,5/16/2015,136,0,24.5,10.1,17.7,60,26,42,4.4
Barstow,234,Newberry Springs II,San Bernardino,5/17/2015,137,0,25.7,9.7,18.6,70,26,43,3.7
Barstow,234,Newberry Springs II,San Bernardino,5/18/2015,138,0,24.7,12.7,18.2,67,25,44,5.6
Barstow,234,Newberry Springs II,San Bernardino,5/19/2015,139,0,26,12.2,19.1,61,21,39,4.4
Barstow,234,Newberry Springs II,San Bernardino,5/20/2015,140,0,28.1,14.2,19.5,53,19,37,4
Barstow,234,Newberry Springs II,San Bernardino,5/21/2015,141,0,24,12.1,17.5,67,25,44,5.9
Barstow,234,Newberry Springs II,San Bernardino,5/22/2015,142,0,22,12.9,16.2,60,38,50,6.4
Barstow,234,Newberry Springs II,San Bernardino,5/23/2015,143,0,26.3,11.4,18.7,71,30,47,5.6
Barstow,234,Newberry Springs II,San Bernardino,5/24/2015,144,0,28.1,12.5,20.8,68,23,43,4
Barstow,234,Newberry Springs II,San Bernardino,5/25/2015,145,0,30.7,14,22.7,59,19,36,3.5
Barstow,234,Newberry Springs II,San Bernardino,5/26/2015,146,0,31.1,15.4,23.4,54,13,32,3.2
Barstow,234,Newberry Springs II,San Bernardino,5/27/2015,147,0,32.5,15,24.2,42,15,29,3.1
Barstow,234,Newberry Springs II,San Bernardino,5/28/2015,148,0,33.6,16.4,25.9,45,12,26,2.8
Barstow,234,Newberry Springs II,San Bernardino,5/29/2015,149,0,34.8,16.2,26.8,37,13,22,3.2
Barstow,234,Newberry Springs II,San Bernardino,5/30/2015,150,0,36.8,16.6,27.7,41,15,24,2.4
Barstow,234,Newberry Springs II,San Bernardino,5/31/2015,151,0,36,17.8,27.9,37,13,20,3.5
Barstow,234,Newberry Springs II,San Bernardino,06/01/2015,152,0,32.9,19.4,25.7,36,13,22,5.5
Barstow,234,Newberry Springs II,San Bernardino,06/02/2015,153,0,32.5,18.4,24.6,42,16,27,5.8
Barstow,234,Newberry Springs II,San Bernardino,06/03/2015,154,0,30.1,17.9,23.5,48,22,33,5.8
Barstow,234,Newberry Springs II,San Bernardino,06/04/2015,155,0,30.7,16.1,22.6,46,13,28,5.1
Barstow,234,Newberry Springs II,San Bernardino,06/05/2015,156,0,29.7,12.1,21.7,64,10,30,3.9
Barstow,234,Newberry Springs II,San Bernardino,06/06/2015,157,0,32.1,16.4,24.8,51,11,26,3.4
Barstow,234,Newberry Springs II,San Bernardino,06/07/2015,158,0,34.6,16.2,27,47,11,21,2.5
Barstow,234,Newberry Springs II,San Bernardino,06/08/2015,159,0,37.8,16.1,29.2,29,9,15,2.9
Barstow,234,Newberry Springs II,San Bernardino,06/09/2015,160,0,33.5,21.7,28.7,44,23,28,3.7
Barstow,234,Newberry Springs II,San Bernardino,06/10/2015,161,0,33.8,21.4,26.9,53,22,36,6.4
Barstow,234,Newberry Springs II,San Bernardino,06/11/2015,162,0,34.1,19.4,27.1,58,20,34,3.4
Barstow,234,Newberry Springs II,San Bernardino,06/12/2015,163,0,36.6,22.3,29.1,52,23,35,3.5
Barstow,234,Newberry Springs II,San Bernardino,6/13/2015,164,0,39.8,24,31.7,48,17,29,4.2
Barstow,234,Newberry Springs II,San Bernardino,6/14/2015,165,0,39.3,25.2,32.4,38,13,23,4.6
Barstow,234,Newberry Springs II,San Bernardino,6/15/2015,166,0,39,23.1,31.4,30,10,17,4.7
Barstow,234,Newberry Springs II,San Bernardino,6/16/2015,167,0,39,22.2,30.4,24,7,15,5.1
Barstow,234,Newberry Springs II,San Bernardino,6/17/2015,168,0,39,17.9,29.8,27,9,15,4.2
Barstow,234,Newberry Springs II,San Bernardino,6/18/2015,169,0,39.2,22,31.4,20,6,13,5.9
Barstow,234,Newberry Springs II,San Bernardino,6/19/2015,170,0,40.2,21.9,31.3,25,5,12,5.9
Barstow,234,Newberry Springs II,San Bernardino,6/20/2015,171,0,41.2,21.2,31.6,21,7,14,4.7
Barstow,234,Newberry Springs II,San Bernardino,6/21/2015,172,0,38.1,23.9,31.6,23,13,17,6.6
Barstow,234,Newberry Springs II,San Bernardino,6/22/2015,173,0,37.8,21,30.1,26,8,15,5.7
Barstow,234,Newberry Springs II,San Bernardino,6/23/2015,174,0,37.3,19.6,29.5,25,10,16,4.8
Barstow,234,Newberry Springs II,San Bernardino,6/24/2015,175,0,39.1,18.7,29.5,35,11,21,3.7
Barstow,234,Newberry Springs II,San Bernardino,6/25/2015,176,0,39.9,18,29.5,40,13,21,2.9
Barstow,234,Newberry Springs II,San Bernardino,6/26/2015,177,0,36.2,23,30.9,23,13,17,3.7
Barstow,234,Newberry Springs II,San Bernardino,6/27/2015,178,0,37.2,22.4,31.3,25,11,17,4.5
Barstow,234,Newberry Springs II,San Bernardino,6/28/2015,179,0,35.2,24.1,29.8,43,24,30,2.9
Barstow,234,Newberry Springs II,San Bernardino,6/29/2015,180,0,40.1,23.5,32,39,21,29,2.9
Barstow,234,Newberry Springs II,San Bernardino,6/30/2015,181,0,40.4,26.4,32.3,32,23,30,3.7
Barstow,234,Newberry Springs II,San Bernardino,07/01/2015,182,0.2,34.5,22.4,28.1,79,30,,3
Barstow,234,Newberry Springs II,San Bernardino,07/02/2015,183,0,37,24.9,30.3,48,26,37,3.7
Barstow,234,Newberry Springs II,San Bernardino,07/03/2015,184,0,39.5,23.6,32.1,45,11,23,3.3
Barstow,234,Newberry Springs II,San Bernardino,07/04/2015,185,0,40.2,26.6,33.2,32,12,20,3.6
Barstow,234,Newberry Springs II,San Bernardino,07/05/2015,186,0.6,40.6,23.3,31.9,35,15,23,3.7
Barstow,234,Newberry Springs II,San Bernardino,07/06/2015,187,0,36.9,21.6,29.9,37,21,27,3.3
Barstow,234,Newberry Springs II,San Bernardino,07/07/2015,188,0,38.8,22.4,29.8,42,10,23,4.9
Barstow,234,Newberry Springs II,San Bernardino,07/08/2015,189,0,35.6,20.7,27.2,44,13,29,6
Barstow,234,Newberry Springs II,San Bernardino,07/09/2015,190,0,31.1,18.5,23.8,59,18,39,6
Barstow,234,Newberry Springs II,San Bernardino,07/10/2015,191,0,32,17,24.2,61,22,39,3.7
Barstow,234,Newberry Springs II,San Bernardino,07/11/2015,192,0,34.7,17.8,26.1,58,18,35,3.5
Barstow,234,Newberry Springs II,San Bernardino,07/12/2015,193,0,35.1,18.9,27.4,46,12,27,3.1
Barstow,234,Newberry Springs II,San Bernardino,7/13/2015,194,0,37,18.8,28.5,43,10,22,4.2
Barstow,234,Newberry Springs II,San Bernardino,7/14/2015,195,0,36,22.2,28.9,38,10,22,5.2
Barstow,234,Newberry Springs II,San Bernardino,7/15/2015,196,0,36.2,20.7,28.6,33,10,21,3.9
Barstow,234,Newberry Springs II,San Bernardino,7/16/2015,197,0,40,18.9,29,37,6,19,3.2
Barstow,234,Newberry Springs II,San Bernardino,7/17/2015,198,0,38.4,19.3,29.5,32,15,21,4.1
Barstow,234,Newberry Springs II,San Bernardino,7/18/2015,199,6.6,28.3,19.2,23.2,90,17,51,3.2
Barstow,234,Newberry Springs II,San Bernardino,7/19/2015,200,3.6,30.1,17.4,23,96,45,72,2.2
Barstow,234,Newberry Springs II,San Bernardino,7/20/2015,201,2.6,29.5,19.3,23.8,96,41,69,1.9
Barstow,234,Newberry Springs II,San Bernardino,7/21/2015,202,0,34.7,20.5,27.2,87,33,53,2.7
Barstow,234,Newberry Springs II,San Bernardino,7/22/2015,203,0,32.6,21.1,26.6,73,26,48,4.7
Barstow,234,Newberry Springs II,San Bernardino,7/23/2015,204,0,33.7,19.2,27,60,20,38,3.7
Barstow,234,Newberry Springs II,San Bernardino,7/24/2015,205,0,34.1,19.5,27.9,68,18,34,4.5
Barstow,234,Newberry Springs II,San Bernardino,7/25/2015,206,0,35.1,20.3,28.2,42,16,27,4.9
Barstow,234,Newberry Springs II,San Bernardino,7/26/2015,207,0,35.3,21.8,28.4,39,15,27,5.4
Barstow,234,Newberry Springs II,San Bernardino,7/27/2015,208,0,35.3,22.5,28.3,40,14,27,4.6
Barstow,234,Newberry Springs II,San Bernardino,7/28/2015,209,0,36.4,19,28.6,49,14,25,3.1
Barstow,234,Newberry Springs II,San Bernardino,7/29/2015,210,2.3,36.6,19.2,27.3,80,22,44,2.6
Barstow,234,Newberry Springs II,San Bernardino,7/30/2015,211,0,35.7,21.8,28.3,81,32,53,2
Barstow,234,Newberry Springs II,San Bernardino,7/31/2015,212,0,37,21.8,29.9,78,30,46,2.8
Barstow,234,Newberry Springs II,San Bernardino,08/01/2015,213,0,38.4,22.3,30.1,49,19,30,3
Barstow,234,Newberry Springs II,San Bernardino,08/02/2015,214,0,37.6,20.6,30.1,49,18,29,3.3
Barstow,234,Newberry Springs II,San Bernardino,08/03/2015,215,0,40.6,22.1,30.7,41,5,20,4.2
Barstow,234,Newberry Springs II,San Bernardino,08/04/2015,216,0,41,22.2,31.7,39,9,19,4.5
Barstow,234,Newberry Springs II,San Bernardino,08/05/2015,217,0,41.4,23.4,32.2,40,9,20,4.7
Barstow,234,Newberry Springs II,San Bernardino,08/06/2015,218,0.1,38.9,22.6,29.7,59,11,26,3
Barstow,234,Newberry Springs II,San Bernardino,08/07/2015,219,0,37.2,22.8,29,68,11,25,4.2
Barstow,234,Newberry Springs II,San Bernardino,08/08/2015,220,0,35.7,17.6,27.6,38,9,19,3.6
Barstow,234,Newberry Springs II,San Bernardino,08/09/2015,221,0,38,18.4,28.6,44,13,24,3.4
Barstow,234,Newberry Springs II,San Bernardino,08/10/2015,222,0,37.8,19.5,28.6,37,10,22,3.8
Barstow,234,Newberry Springs II,San Bernardino,08/11/2015,223,0,37.8,18.1,28.4,44,10,22,3.8
Barstow,234,Newberry Springs II,San Bernardino,08/12/2015,224,0,37.8,19.4,29.4,30,16,22,3.1
Barstow,234,Newberry Springs II,San Bernardino,8/13/2015,225,0,39.3,21.9,31.3,30,19,25,2.9
Barstow,234,Newberry Springs II,San Bernardino,8/14/2015,226,0,40.5,22,31.8,34,14,23,3.7
Barstow,234,Newberry Springs II,San Bernardino,8/15/2015,227,0,40.7,22.4,32.7,35,13,22,3.2
Barstow,234,Newberry Springs II,San Bernardino,8/16/2015,228,0,40.8,23.2,33.7,25,13,,4.3
Barstow,234,Newberry Springs II,San Bernardino,8/17/2015,229,0,40.4,26,33.1,24,13,18,5.3
Barstow,234,Newberry Springs II,San Bernardino,8/18/2015,230,0,39.6,24.6,31.8,28,14,21,5.1
Barstow,234,Newberry Springs II,San Bernardino,8/19/2015,231,0,39.2,23,31.3,29,9,19,5
Barstow,234,Newberry Springs II,San Bernardino,8/20/2015,232,0,39.4,23.1,31.2,36,11,20,3.8
Barstow,234,Newberry Springs II,San Bernardino,8/21/2015,233,0,38.7,20.9,30.1,46,12,28,3.7
Barstow,234,Newberry Springs II,San Bernardino,8/22/2015,234,0,38.2,21.2,29.3,40,14,28,2.8
Barstow,234,Newberry Springs II,San Bernardino,8/23/2015,235,0,39.2,18.8,29.8,49,12,25,2.6
Barstow,234,Newberry Springs II,San Bernardino,8/24/2015,236,0,39.1,20,30.4,49,12,24,3.1
Barstow,234,Newberry Springs II,San Bernardino,8/25/2015,237,0,37.6,24.7,30.4,38,20,27,3.1
Barstow,234,Newberry Springs II,San Bernardino,8/26/2015,238,0,37.5,23.6,31,46,18,29,2.2
Barstow,234,Newberry Springs II,San Bernardino,8/27/2015,239,0,38.5,20,31,41,18,26,2.5
Barstow,234,Newberry Springs II,San Bernardino,8/28/2015,240,0,40.9,22.3,32.5,34,14,21,3.1
Barstow,234,Newberry Springs II,San Bernardino,8/29/2015,241,0,40.4,25.7,32.6,30,13,20,5.2
Barstow,234,Newberry Springs II,San Bernardino,8/30/2015,242,0,38.5,23.1,30.4,42,16,28,5.6
Barstow,234,Newberry Springs II,San Bernardino,8/31/2015,243,0,37.3,20.5,28.5,49,12,27,3.7
Barstow,234,Newberry Springs II,San Bernardino,09/01/2015,244,0,36.8,19,27.9,42,10,22,3.5
Barstow,234,Newberry Springs II,San Bernardino,09/02/2015,245,0,36.4,18.7,27.1,48,9,21,4.4
Barstow,234,Newberry Springs II,San Bernardino,09/03/2015,246,0,35,16.8,25.4,42,13,25,4.3
Barstow,234,Newberry Springs II,San Bernardino,09/04/2015,247,0,32.8,16.4,24.2,48,7,28,5.2
Barstow,234,Newberry Springs II,San Bernardino,09/05/2015,248,0,33.3,15.4,24.1,56,9,29,3.1
Barstow,234,Newberry Springs II,San Bernardino,09/06/2015,249,0,34.8,14.4,26.1,46,20,30,2.8
Barstow,234,Newberry Springs II,San Bernardino,09/07/2015,250,0,36,20.6,28.6,51,26,35,2.4
Barstow,234,Newberry Springs II,San Bernardino,09/08/2015,251,0,37.6,21.2,30.2,42,24,32,2.7
Barstow,234,Newberry Springs II,San Bernardino,09/09/2015,252,0,36.5,23.8,29.3,60,28,40,2.8
Barstow,234,Newberry Springs II,San Bernardino,09/10/2015,253,0,36.5,21,28.9,68,29,43,2.3
Barstow,234,Newberry Springs II,San Bernardino,09/11/2015,254,0,36.9,21.9,29.9,69,21,40,2.7
Barstow,234,Newberry Springs II,San Bernardino,09/12/2015,255,0,36.3,21.5,29.4,64,25,40,2.9
Barstow,234,Newberry Springs II,San Bernardino,9/13/2015,256,0,35.4,23.9,29.3,39,24,32,3.9
Barstow,234,Newberry Springs II,San Bernardino,9/14/2015,257,0,32.7,0,27.4,63,18,39,6
Barstow,234,Newberry Springs II,San Bernardino,9/15/2015,258,3.8,24.2,18.8,21.2,94,58,75,4
Barstow,234,Newberry Springs II,San Bernardino,9/16/2015,259,0,27.4,16.8,21.5,79,33,54,5
Barstow,234,Newberry Springs II,San Bernardino,9/17/2015,260,0,27.6,14.3,20.8,64,22,37,3.9
Barstow,234,Newberry Springs II,San Bernardino,9/18/2015,261,0,31.1,12.8,22.1,65,16,34,2.5
Barstow,234,Newberry Springs II,San Bernardino,9/19/2015,262,0,34,14.5,24.1,54,15,30,2.2
Barstow,234,Newberry Springs II,San Bernardino,9/20/2015,263,0,35.6,15.2,25.7,58,14,29,2.2
Barstow,234,Newberry Springs II,San Bernardino,9/21/2015,264,0,37.4,16.7,26.5,51,21,35,2.8
Barstow,234,Newberry Springs II,San Bernardino,9/22/2015,265,0,34.6,20.6,27.5,63,23,41,2.9
Barstow,234,Newberry Springs II,San Bernardino,9/23/2015,266,0,34.1,17.6,26.7,62,25,38,2.2
Barstow,234,Newberry Springs II,San Bernardino,9/24/2015,267,0,35.9,17.7,27.1,50,22,31,2.4
Barstow,234,Newberry Springs II,San Bernardino,9/25/2015,268,0,36.3,19,28.6,58,23,35,2.6
Barstow,234,Newberry Springs II,San Bernardino,9/26/2015,269,0,35.2,19.7,27.9,57,26,38,2.7
Barstow,234,Newberry Springs II,San Bernardino,9/27/2015,270,0.5,35.5,19.4,27.5,53,15,32,3.1
Barstow,234,Newberry Springs II,San Bernardino,9/28/2015,271,0,34.2,16.9,26.1,47,19,30,3.2
Barstow,234,Newberry Springs II,San Bernardino,9/29/2015,272,0.3,33.6,18.1,25.7,44,12,26,3.2
Barstow,234,Newberry Springs II,San Bernardino,9/30/2015,273,0,37.1,17,25.9,44,14,29,2.6
Barstow,234,Newberry Springs II,San Bernardino,10/01/2015,274,0,32.8,18.2,24.8,45,20,32,4.6
Barstow,234,Newberry Springs II,San Bernardino,10/02/2015,275,0.2,27.9,15,21.3,70,25,42,3.1
Barstow,234,Newberry Springs II,San Bernardino,10/03/2015,276,0.8,29.8,14.1,22.2,63,24,38,3.5
Barstow,234,Newberry Springs II,San Bernardino,10/04/2015,277,0.4,24.8,13.8,18.7,78,41,57,3.7
Barstow,234,Newberry Springs II,San Bernardino,10/05/2015,278,0,21.4,11.8,15.6,90,47,73,2.5
Barstow,234,Newberry Springs II,San Bernardino,10/06/2015,279,0,24.5,9.9,17,94,41,65,1.9
Barstow,234,Newberry Springs II,San Bernardino,10/07/2015,280,0,28.9,12.1,20.4,83,28,49,2.2
Barstow,234,Newberry Springs II,San Bernardino,10/08/2015,281,0,32.9,15.9,23.6,57,18,34,2.7
Barstow,234,Newberry Springs II,San Bernardino,10/09/2015,282,0,34.9,16.6,25.4,46,15,27,2.5
Barstow,234,Newberry Springs II,San Bernardino,10/10/2015,283,0,34.8,15.2,24.8,57,20,34,2.5
Barstow,234,Newberry Springs II,San Bernardino,10/11/2015,284,0,34.4,17.6,25.4,53,19,33,1.9
Barstow,234,Newberry Springs II,San Bernardino,10/12/2015,285,0,35.1,16.3,25.9,52,18,30,2.2
Barstow,234,Newberry Springs II,San Bernardino,10/13/2015,286,0,35.2,19.5,26.9,52,24,36,2.4
Barstow,234,Newberry Springs II,San Bernardino,10/14/2015,287,0,33.6,18.4,26.1,76,26,43,2.8
Barstow,234,Newberry Springs II,San Bernardino,10/15/2015,288,0,27.3,17.8,22.4,92,48,,3.8
Barstow,234,Newberry Springs II,San Bernardino,10/16/2015,289,0,26,16.9,20.3,94,57,,2.6
Barstow,234,Newberry Springs II,San Bernardino,10/17/2015,290,0,27.1,16.3,21.5,94,51,,2.4
Barstow,234,Newberry Springs II,San Bernardino,10/18/2015,291,0,28.3,16.9,21.4,84,37,59,4.5
Barstow,234,Newberry Springs II,San Bernardino,10/19/2015,292,0,23.8,13.9,18.7,70,33,49,3.7
Barstow,234,Newberry Springs II,San Bernardino,10/20/2015,293,0,25.2,12.3,18.8,74,26,44,3.5
Barstow,234,Newberry Springs II,San Bernardino,10/21/2015,294,0,25.2,12.7,19.9,53,28,36,3
Barstow,234,Newberry Springs II,San Bernardino,10/22/2015,295,0,26.5,9.8,19.1,66,19,37,3
Barstow,234,Newberry Springs II,San Bernardino,10/23/2015,296,0,26.6,11.3,18.6,77,24,42,2.5
Barstow,234,Newberry Springs II,San Bernardino,10/24/2015,297,0,27.1,9,18.3,58,18,31,2
Barstow,234,Newberry Springs II,San Bernardino,10/25/2015,298,0,24.1,10.1,17,47,23,35,2
Barstow,234,Newberry Springs II,San Bernardino,10/26/2015,299,0,27.1,8.3,17.4,56,22,34,2.2
Barstow,234,Newberry Springs II,San Bernardino,10/27/2015,300,0,26.5,7.6,18.2,51,14,26,2.5
Barstow,234,Newberry Springs II,San Bernardino,10/28/2015,301,0,27.1,14.7,20.6,58,22,30,4.8
Barstow,234,Newberry Springs II,San Bernardino,10/29/2015,302,0,23.9,13.6,18.4,86,24,43,4.1
Barstow,234,Newberry Springs II,San Bernardino,10/30/2015,303,0,24.1,9.7,18.1,35,15,23,3.5
Barstow,234,Newberry Springs II,San Bernardino,10/31/2015,304,0,27.6,8.9,18.3,38,19,27,2.8
Barstow,234,Newberry Springs II,San Bernardino,11/01/2015,305,0,31.2,9.3,21,49,11,24,4.8
