census,ID,Site,Rep,Lat,Long,Elevation,Gradient,Microsite,Nutrient,swc,Phacelia.surv,Plantago.surv,Salvia.surv,Phacelia,Plantago,Salvia,abundance,richness,proportional,Phacelia.biomass,Plantago.biomass,Salvia.biomass,phyto.biomass,,
end,20,Panoche,20,36.700688,-120.802347,655.443787,1,open,Ambient,24.4,,,,0,9,24,33,2,16.5,,0.1049,0.521,0.6259,0.6259,
end,21,Panoche,21,36.70053,-120.802301,655.854309,1,shrub,Added,15.8,0,,1,8,0,8,16,2,8,2.0692,,0.1682,2.2374,2.2374,
end,21,Panoche,21,36.70053,-120.802301,655.854309,1,open,Added,20.7,,1,0,0,2,6,8,2,4,,0.0997,0.3919,0.4916,0.4916,
end,22,Panoche,22,36.70048398,-120.802091,657.141968,1,shrub,Ambient,14.4,,,1,8,0,8,16,2,8,1.597,,0.0812,1.6782,1.6782,
end,22,Panoche,22,36.70048398,-120.802091,657.141968,1,open,Ambient,20.2,,,0,2,3,4,9,3,3,0.0426,0.0597,0.0127,0.115,0.115,
end,23,Panoche,23,36.70042296,-120.802111,657.748474,1,shrub,Added,15.8,1,,1,3,0,9,12,2,6,0.8097,,1.7065,2.5162,2.5162,
end,23,Panoche,23,36.70042296,-120.802111,657.748474,1,open,Added,18.5,,,,0,0,0,0,0,0,,,,0,0,
end,24,Panoche,24,36.70036303,-120.801976,658.252319,1,shrub,Ambient,20.9,1,,1,2,0,21,23,2,11.5,0.6704,,0.372,1.0424,1.0424,
end,24,Panoche,24,36.70036303,-120.801976,658.252319,1,open,Ambient,22.4,1,1,,20,4,17,41,3,13.66666667,0.7517,0.0678,0.7796,1.5991,1.5991,
end,25,Panoche,25,36.70034601,-120.801917,658.718872,1,shrub,Added,22.7,1,,1,8,0,8,16,2,8,0.6181,,0.0486,0.6667,0.6667,
end,25,Panoche,25,36.70034601,-120.801917,658.718872,1,open,Added,25,0,0,1,0,0,23,23,1,23,,,1.2589,1.2589,1.2589,
end,26,Panoche,26,36.70026102,-120.802002,658.905457,1,shrub,Ambient,19.6,1,,1,1,0,1,2,2,1,0.3102,,,0.3102,0.3102,
end,26,Panoche,26,36.70026102,-120.802002,658.905457,1,open,Ambient,18.8,,,,0,1,1,2,2,1,,,0.0281,0.0281,0.0281,
end,27,Panoche,27,36.700128,-120.801996,658.998779,1,shrub,Added,20.5,0,0,1,5,0,19,24,2,12,0.3842,,0.2207,0.6049,0.6049,
end,27,Panoche,27,36.700128,-120.801996,658.998779,1,open,Added,18.2,,1,1,0,2,13,15,2,7.5,,,0.1016,0.1016,0.1016,
end,28,Panoche,28,36.70014703,-120.802046,659.036072,1,shrub,Ambient,18,,,1,4,0,1,5,2,2.5,0.4501,,0.0019,0.4523,0,
end,28,Panoche,28,36.70014703,-120.802046,659.036072,1,open,Ambient,16,,,1,0,6,5,11,2,5.5,,0.176,0.0502,0.2262,0.2262,
end,29,Panoche,29,36.70008902,-120.801924,658.961426,1,shrub,Added,14.5,,,,5,0,6,11,2,5.5,2.3958,,0.0646,2.4604,2.4604,
end,29,Panoche,29,36.70008902,-120.801924,658.961426,1,open,Added,17.7,0,1,0,0,6,3,9,2,4.5,,0.3637,0.0451,0.4088,0.4088,
end,30,Panoche,30,36.70004502,-120.801923,659.120056,1,shrub,Ambient,17.6,,,1,1,0,8,9,2,4.5,0.0259,,0.1077,0.1336,0.1336,
end,30,Panoche,30,36.70004502,-120.801923,659.120056,1,open,Ambient,19,1,,,2,15,33,50,3,16.66666667,0.0802,0.6216,0.9957,1.6975,1.6975,
end,31,Cuyama,1,34.85521998,-119.48851,806.83429,2,shrub,Added,2.6,,,,2,0,2,4,2,2,0.5964,,,0.5964,0.5964,
end,31,Cuyama,1,34.85521998,-119.48851,806.83429,2,open,Added,0,1,,1,1,0,2,3,2,1.5,0.1904,,0.4603,0.6507,0.6507,
end,32,Cuyama,2,34.85518101,-119.488553,806.526367,2,shrub,Ambient,0,0,,,0,0,0,0,0,0,,,,0,0,
end,32,Cuyama,2,34.85518101,-119.488553,806.526367,2,open,Ambient,0,,1,0,1,6,5,12,3,4,1.3251,0.0663,0.0365,1.4279,1.4279,
end,33,Cuyama,3,34.85511898,-119.488577,806.498352,2,shrub,Added,1.4,,,,0,0,3,3,1,3,,,0.6987,0.6987,0.6987,
end,33,Cuyama,3,34.85511898,-119.488577,806.498352,2,open,Added,1,,,,0,0,0,0,0,0,,,,0,0,
end,34,Cuyama,4,34.85505897,-119.488544,806.619629,2,shrub,Ambient,7.3,1,,1,2,0,1,3,2,1.5,0.2003,,,0.2003,0.2003,
end,34,Cuyama,4,34.85505897,-119.488544,806.619629,2,open,Ambient,0,,,,0,0,0,0,0,0,,,,0,0,
end,35,Cuyama,5,34.85504597,-119.488445,807.011536,2,shrub,Added,4.6,,,,2,0,4,6,2,3,0.5891,,0.0821,0.6712,0.6712,
end,35,Cuyama,5,34.85504597,-119.488445,807.011536,2,open,Added,0,0,0,1,1,0,3,4,2,2,0.2544,,0.2552,0.5096,0.5096,
end,36,Cuyama,6,34.85499803,-119.488383,806.050476,2,shrub,Ambient,3.5,1,0,,8,0,4,12,2,6,0.3842,,0.1106,0.4948,0.4948,
end,36,Cuyama,6,34.85499803,-119.488383,806.050476,2,open,Ambient,0,0,0,1,0,0,3,3,1,3,,,1.0076,1.0076,1.0076,
end,37,Cuyama,7,34.854893,-119.488468,808.075256,2,shrub,Added,3.1,0,0,1,0,0,5,5,1,5,,,0.4782,0.4782,0.4782,
end,37,Cuyama,7,34.854893,-119.488468,808.075256,2,open,Added,0,1,0,1,2,0,2,4,2,2,4.2893,,0.1794,4.4687,4.4687,
end,38,Cuyama,8,34.85487901,-119.488425,808.709717,2,shrub,Ambient,1.9,,0,,0,0,5,5,1,5,,,1.9523,1.9523,0,
end,38,Cuyama,8,34.85487901,-119.488425,808.709717,2,open,Ambient,4,,0,1,0,0,2,2,1,2,,,0.9852,0.9852,0,
end,39,Cuyama,9,34.85488596,-119.488325,808.523132,2,shrub,Added,0.3,0,0,,0,0,0,0,0,0,,,,0,0,
end,39,Cuyama,9,34.85488596,-119.488325,808.523132,2,open,Added,0,1,0,,1,0,5,6,2,3,0.2139,,,0.2139,0.2139,
end,40,Cuyama,10,34.85476401,-119.488354,809.922729,2,shrub,Ambient,6.6,0,,,3,0,5,8,2,4,0.2966,,0.1229,0.4195,0.4195,
end,40,Cuyama,10,34.85476401,-119.488354,809.922729,2,open,Ambient,4.4,1,0,,1,0,0,1,1,1,0.3251,,,0.3251,0,
end,41,Cuyama,11,34.85461799,-119.488493,809.325562,2,shrub,Added,6.4,,0,,1,0,3,4,2,2,0.0228,,,0.0228,0.0228,
end,41,Cuyama,11,34.85461799,-119.488493,809.325562,2,open,Added,0.2,,,,0,0,0,0,0,0,,,,0,0,
end,42,Cuyama,12,34.854648,-119.488394,809.59613,2,shrub,Ambient,0.6,0,,1,0,0,9,9,1,9,,,0.1722,0.1722,0.1722,
end,42,Cuyama,12,34.854648,-119.488394,809.59613,2,open,Ambient,1.1,,,,0,0,4,4,1,4,,,0.1011,0.1011,0,
end,43,Cuyama,13,34.85453803,-119.48836,810.18396,2,shrub,Added,0.2,,,0,0,0,7,7,1,7,,,0.2315,0.2315,0,
end,43,Cuyama,13,34.85453803,-119.48836,810.18396,2,open,Added,1.3,1,,0,1,0,5,6,2,3,0.1141,,,0.1141,0.1141,
end,44,Cuyama,14,34.854418,-119.488377,809.81073,2,shrub,Ambient,1.8,,,,0,0,0,0,0,0,,,,0,0,
end,44,Cuyama,14,34.854418,-119.488377,809.81073,2,open,Ambient,1.4,,0,,0,0,0,0,0,0,,,,0,0,
end,45,Cuyama,15,34.85440602,-119.488198,810.072021,2,shrub,Added,5.2,,,0,0,0,5,5,1,5,,,0.6542,0.6542,0,
end,45,Cuyama,15,34.85440602,-119.488198,810.072021,2,open,Added,0.4,,,,0,0,0,0,0,0,,,,0,0,
end,46,Cuyama,16,34.85436,-119.488105,810.39856,2,shrub,Ambient,1.8,1,,1,4,0,9,13,2,6.5,1.297,,0.2592,1.5562,1.5562,
end,46,Cuyama,16,34.85436,-119.488105,810.39856,2,open,Ambient,1,,0,,0,0,0,0,0,0,,,,0,0,
end,47,Cuyama,17,34.85442697,-119.48802,810.016052,2,shrub,Added,3.4,,,1,0,0,7,7,1,7,,,0.1249,0.1249,0.1249,
end,47,Cuyama,17,34.85442697,-119.48802,810.016052,2,open,Added,0.7,1,,,1,0,1,2,2,1,0.2659,,0.0645,0.3304,0.3304,
end,48,Cuyama,18,34.85448699,-119.487982,811.191711,2,shrub,Ambient,4.2,,1,1,1,1,7,9,3,3,0.4336,0.0267,0.276,0.7363,0.7363,
end,48,Cuyama,18,34.85448699,-119.487982,811.191711,2,open,Ambient,0.6,0,,,0,0,8,8,1,8,,,1.221,1.221,0,
end,49,Cuyama,19,34.85460802,-119.487894,811.667542,2,shrub,Added,0.6,,,,1,0,2,3,2,1.5,3.4883,,0.0647,3.553,3.553,
end,49,Cuyama,19,34.85460802,-119.487894,811.667542,2,open,Added,0,,0,0,1,0,0,1,1,1,2.0215,,,2.0215,2.0215,
end,50,Cuyama,20,34.85472403,-119.487787,809.885376,2,shrub,Ambient,5.6,,,,1,0,8,9,2,4.5,0.5092,,1.678,2.1872,0,
end,50,Cuyama,20,34.85472403,-119.487787,809.885376,2,open,Ambient,0,,,,0,0,0,0,0,0,,,,0,0,
end,51,Cuyama,21,34.85472,-119.487714,810.417236,2,shrub,Added,3.9,,,,1,0,4,5,2,2.5,,,0.1435,0.1435,0.1435,
end,51,Cuyama,21,34.85472,-119.487714,810.417236,2,open,Added,0,,,1,0,0,2,2,1,2,,,0.095,0.095,0,
end,52,Cuyama,22,34.85483903,-119.487612,811.341003,2,shrub,Ambient,0,0,,1,1,0,15,16,2,8,0.0121,,1.2017,1.2138,0,
end,52,Cuyama,22,34.85483903,-119.487612,811.341003,2,open,Ambient,3.8,0,,0,0,0,10,10,1,10,,,0.4521,0.4521,0,
end,53,Cuyama,23,34.85491999,-119.487414,810.958435,2,shrub,Added,1.8,0,0,,0,0,0,0,0,0,,,,0,0,
end,53,Cuyama,23,34.85491999,-119.487414,810.958435,2,open,Added,0,0,0,,2,0,8,10,2,5,0.5921,,,0.5921,0.5921,
end,54,Cuyama,24,34.85496098,-119.487277,811.630249,2,shrub,Ambient,2.9,0,0,1,0,0,12,12,1,12,,,3.2152,3.2152,0,
end,54,Cuyama,24,34.85496098,-119.487277,811.630249,2,open,Ambient,1.2,0,0,0,1,0,5,6,2,3,1.214,,,1.214,0,
end,55,Cuyama,25,34.85500197,-119.487363,811.900818,2,shrub,Added,2.8,,,,0,0,0,0,0,0,,,,0,0,
end,55,Cuyama,25,34.85500197,-119.487363,811.900818,2,open,Added,0,,,1,0,0,11,11,1,11,,,0.4364,0.4364,0.4364,
end,56,Cuyama,26,34.85510398,-119.487522,812.180725,2,shrub,Ambient,1.3,1,,,5,0,3,8,2,4,0.334,,0.8581,1.1921,1.1921,
end,56,Cuyama,26,34.85510398,-119.487522,812.180725,2,open,Ambient,0.8,1,,1,0,0,2,2,1,2,,,,0.5977,0,FALSE
end,57,Cuyama,27,34.85511404,-119.487606,812.124756,2,shrub,Added,2.2,,0,,3,0,8,11,2,5.5,1.40727,,0.3303,1.73757,1.73757,
end,57,Cuyama,27,34.85511404,-119.487606,812.124756,2,open,Added,3.2,,,0,7,1,3,11,3,3.666666667,1.7583,,,1.7583,1.7583,
end,58,Cuyama,28,34.85508403,-119.487613,812.619263,2,shrub,Ambient,0.1,,,0,2,0,10,12,2,6,0.4084,,,0.4084,0.4084,
end,58,Cuyama,28,34.85508403,-119.487613,812.619263,2,open,Ambient,0,1,,1,1,0,2,3,2,1.5,0.0177,,0.3344,0.3521,0,
end,59,Cuyama,29,34.85499099,-119.487913,811.46228,2,shrub,Added,3.6,1,,,1,0,4,5,2,2.5,0.3509,,0.4779,0.8288,0.8288,
end,59,Cuyama,29,34.85499099,-119.487913,811.46228,2,open,Added,4.2,0,0,1,2,0,1,3,2,1.5,0.2142,,,0.2142,0.2142,
end,60,Cuyama,30,34.85501697,-119.488134,811.779541,2,shrub,Ambient,0.7,,,,0,0,0,0,0,0,,,,0,0,
end,60,Cuyama,30,34.85501697,-119.488134,811.779541,2,open,Ambient,0.9,,,,0,0,0,0,0,0,,,,0,0,
end,61,Barstow,1,35.094051,-116.8349,496.02,4,shrub,Added,3.2,0,0,0,0,0,0,0,0,0,,,,0,0,
end,61,Barstow,1,35.094051,-116.8349,496.02,4,open,Added,4,0,,,0,0,0,0,0,0,,,,0,0,
end,62,Barstow,2,35.093909,-116.834817,496.169,4,shrub,Ambient,3.1,,0,0,0,0,0,0,0,0,,,,0,0,
end,62,Barstow,2,35.093909,-116.834817,496.169,4,open,Ambient,5,0,0,0,0,0,2,2,2,1,,0.0455,,0.0455,0.0455,
end,63,Barstow,3,35.093813,-116.834911,495.413,4,shrub,Added,1.9,0,,0,0,0,0,0,0,0,,,,0,0,
end,63,Barstow,3,35.093813,-116.834911,495.413,4,open,Added,2.6,0,,0,0,0,1,1,1,1,,0.0378,,0.0378,0.0378,
end,64,Barstow,4,35.093731,-116.835001,495.46,4,shrub,Ambient,2.7,0,0,0,0,1,1,2,0,0,,0.023,0.0159,0.0389,0.0389,
end,64,Barstow,4,35.093731,-116.835001,495.46,4,open,Ambient,2.2,1,0,0,3,0,1,4,2,2,0.0232,,0.0421,0.0653,0,
end,65,Barstow,5,35.093721,-116.835008,494.984,4,shrub,Added,2.8,0,1,1,0,1,1,2,2,1,,0.0127,0.2017,0.2145,0,
end,65,Barstow,5,35.093721,-116.835008,494.984,4,open,Added,4.7,0,0,,0,0,3,3,1,3,0.0188,0.0554,,0.0742,0.0742,
end,66,Barstow,6,35.093606,-116.835026,494.76,4,shrub,Ambient,3.8,,,,0,0,0,0,0,0,,,,0,0,
end,66,Barstow,6,35.093606,-116.835026,494.76,4,open,Ambient,3.4,,1,1,0,1,5,6,2,3,,0.0039,0.0324,0.0363,0.0363,
end,67,Barstow,7,35.093593,-116.835051,495.087,4,shrub,Added,2.9,0,0,0,0,0,0,0,0,0,,,,0,0,
end,67,Barstow,7,35.093593,-116.835051,495.087,4,open,Added,3.1,,,0,0,0,0,0,0,0,,,,0,0,
end,68,Barstow,8,35.093579,-116.835052,495.105,4,shrub,Ambient,0,0,,,0,0,2,2,1,1,0.0204,,,0.0204,0.0204,
end,68,Barstow,8,35.093579,-116.835052,495.105,4,open,Ambient,3.2,,0,,0,0,0,0,0,0,,,,0,0,
end,69,Barstow,9,35.093533,-116.835052,495.152,4,shrub,Added,3.6,0,0,1,0,0,3,3,1,3,,,0.07596,0.07596,0,
end,69,Barstow,9,35.093533,-116.835052,495.152,4,open,Added,4,,0,,0,0,0,0,0,0,,,,0,0,
end,70,Barstow,10,35.093424,-116.835026,494.928,4,shrub,Ambient,1.5,,,0,0,0,0,0,0,0,,,,0,0,
end,70,Barstow,10,35.093424,-116.835026,494.928,4,open,Ambient,5.6,,,0,0,0,0,0,0,0,,,,0,0,
end,71,Barstow,11,35.09338,-116.835167,494.863,4,shrub,Added,1.4,0,0,0,0,0,0,0,0,0,,,,0,0,
end,71,Barstow,11,35.09338,-116.835167,494.863,4,open,Added,3.4,,,,0,0,0,0,0,0,,,,0,0,
end,72,Barstow,12,35.093358,-116.835116,494.9,4,shrub,Ambient,3.2,,,,0,0,0,0,0,0,,,,0,0,
end,72,Barstow,12,35.093358,-116.835116,494.9,4,open,Ambient,3,,,,0,0,0,0,0,0,,,,0,0,
end,73,Barstow,13,35.093317,-116.835113,494.891,4,shrub,Added,4.4,,,,0,1,3,2,2,0,0.0195,0.0259,,0.0454,0.0454,
end,73,Barstow,13,35.093317,-116.835113,494.891,4,open,Added,4,,,,1,0,1,2,2,0,0.0087,,,0.0087,0.0087,
end,74,Barstow,14,35.093255,-116.83517,494.583,4,shrub,Ambient,4.2,0,0,1,0,0,3,3,1,3,,,0.0562,0.0562,0,
end,74,Barstow,14,35.093255,-116.83517,494.583,4,open,Ambient,4.9,0,1,1,0,1,1,2,2,1,,0.0057,0.0164,0.0221,0,
end,75,Barstow,15,35.093176,-116.835234,495.068,4,shrub,Added,3.8,0,0,0,0,0,0,0,0,0,,,,0,0,
end,75,Barstow,15,35.093176,-116.835234,495.068,4,open,Added,3.9,,0,,0,1,2,3,2,0,0.0108,,,0.0108,0.0108,
end,76,Barstow,16,35.093126,-116.835173,494.881,4,shrub,Ambient,3,0,0,0,0,0,0,0,0,0,,,,0,0,
end,76,Barstow,16,35.093126,-116.835173,494.881,4,open,Ambient,3.8,1,0,0,1,0,0,1,1,1,0.0541,,,0.0541,0,
end,77,Barstow,17,35.0931,-116.835264,494.601,4,shrub,Added,0.6,0,0,,0,2,0,2,1,0,0.0125,0.0061,,0.0186,0.0186,
end,77,Barstow,17,35.0931,-116.835264,494.601,4,open,Added,4.2,,,,0,0,0,0,0,0,,,,0,0,
end,78,Barstow,18,35.092989,-116.835244,494.116,4,shrub,Ambient,4.2,1,1,0,1,1,0,2,2,1,0.0594,0.0147,,0.0741,0,
end,78,Barstow,18,35.092989,-116.835244,494.116,4,open,Ambient,5,,0,,0,0,0,0,0,0,,,,0,0,
end,79,Barstow,19,35.092894,-116.835197,493.967,4,shrub,Added,4,,,0,0,0,0,0,0,0,,,,0,0,
end,79,Barstow,19,35.092894,-116.835197,493.967,4,open,Added,3,,,,0,0,0,0,0,0,,,,0,0,
end,80,Barstow,20,35.092761,-116.835166,493.734,4,shrub,Ambient,5.2,0,0,0,0,0,1,1,1,0,0.0113,,,0.0113,0.0113,
end,80,Barstow,20,35.092761,-116.835166,493.734,4,open,Ambient,5.2,0,,,0,0,0,0,0,0,,,,0,0,
end,81,Barstow,21,35.09274803,-116.83509,573.044434,4,shrub,Added,4.2,,0,0,1,0,0,1,1,1,,0.0083,,0.0083,0.0083,
end,81,Barstow,21,35.09274803,-116.83509,573.044434,4,open,Added,3.2,,0,,0,0,0,0,0,0,,,,0,0,
end,82,Barstow,22,35.09270897,-116.834966,572.139343,4,shrub,Ambient,2.2,0,0,0,0,1,0,1,1,1,,0.0381,,0.0381,0,
end,82,Barstow,22,35.09270897,-116.834966,572.139343,4,open,Ambient,3.1,0,,,0,0,0,0,0,0,,,,0,0,
end,83,Barstow,23,35.0928,-116.834878,572.988464,4,shrub,Added,1.2,0,0,0,0,0,0,0,0,0,,,,0,0,
end,83,Barstow,23,35.0928,-116.834878,572.988464,4,open,Added,4.4,,,,0,0,0,0,0,0,,,,0,0,
end,84,Barstow,24,35.09274996,-116.834794,572.31665,4,shrub,Ambient,5.6,,,,0,2,0,2,1,0,,0.0054,0.0057,0.0111,0.0111,
end,84,Barstow,24,35.09274996,-116.834794,572.31665,4,open,Ambient,6.4,,,,1,0,1,2,1,0,,0.0035,,0.0035,0.0035,
end,85,Barstow,25,35.09280402,-116.834736,571.756836,4,shrub,Added,2.5,,1,1,0,1,1,2,2,1,,0.0094,,0.0094,0.0094,
end,85,Barstow,25,35.09280402,-116.834736,571.756836,4,open,Added,4.2,0,1,0,0,1,1,2,2,1,,0.0034,0.0401,0.0435,0,
end,86,Barstow,26,35.09286898,-116.834754,571.906128,4,shrub,Ambient,4.8,,,0,0,1,1,2,2,1,,0.0087,0.0127,0.0214,0,
end,86,Barstow,26,35.09286898,-116.834754,571.906128,4,open,Ambient,3.8,0,0,0,0,0,0,0,0,0,,,,0,0,
end,87,Barstow,27,35.092901,-116.834569,571.691467,4,shrub,Added,3.4,0,,0,0,0,2,2,1,0,,0.0168,,0.0168,0.0168,
end,87,Barstow,27,35.092901,-116.834569,571.691467,4,open,Added,5.1,,,,0,0,1,1,1,0,,0.0099,,0.0099,0.0099,
end,88,Barstow,28,35.09294802,-116.834503,571.934082,4,shrub,Ambient,4.4,0,1,0,0,1,0,1,1,1,,0.0067,,0.0067,0,
end,88,Barstow,28,35.09294802,-116.834503,571.934082,4,open,Ambient,5,,0,,0,1,0,1,1,1,,0.0152,,0.0152,0,
end,89,Barstow,29,35.09302204,-116.834682,571.486206,4,shrub,Added,3.9,0,0,0,0,0,0,0,0,0,,,,0,0,
end,89,Barstow,29,35.09302204,-116.834682,571.486206,4,open,Added,5.4,0,0,,0,0,0,0,0,0,,,,0,0,
end,90,Barstow,30,35.09311298,-116.834711,571.719482,4,shrub,Ambient,3.4,,0,,0,0,0,0,0,0,,,,0,0,
end,90,Barstow,30,35.09311298,-116.834711,571.719482,4,open,Ambient,3.2,0,,0,0,0,0,0,0,0,,,,0,0,
end,91,MojavePreserve,1,34.698199,-115.684169,784.73,5,shrub,Added,1.8,1,,0,4,0,0,4,1,4,0.258,,,0.258,0.258,
end,91,MojavePreserve,1,34.698199,-115.684169,784.73,5,open,Added,4.2,1,1,,1,3,1,5,3,1.666666667,0.0186,0.0491,0.021,0.0887,0.0887,
end,92,MojavePreserve,2,34.69811,-115.684086,784.646,5,shrub,Ambient,3.3,1,,0,1,0,0,1,1,1,0.0324,,,0.0324,0,
end,92,MojavePreserve,2,34.69811,-115.684086,784.646,5,open,Ambient,3.4,0,0,0,0,0,0,0,0,0,,,,0,0,
end,93,MojavePreserve,3,34.69805,-115.68411,784.851,5,shrub,Added,2.2,,,1,0,0,4,4,1,4,,0.0684,,0.0684,0,
end,93,MojavePreserve,3,34.69805,-115.68411,784.851,5,open,Added,3.7,0,0,0,0,0,2,2,2,0,,,0.3952,0.3952,0.3952,
