ID,Site,Gradient,Microsite,Rep,Phacelia,Plantago,Salvia,Other,Nutrients
84,Barstow,4,shrub,24,,,,,ambient
84,Barstow,4,open,24,,,,,ambient
85,Barstow,4,shrub,25,,0.0054,0.0057,,added
85,Barstow,4,open,25,,0.0035,,,added
86,Barstow,4,shrub,26,,0.0094,,,ambient
86,Barstow,4,open,26,,,,,ambient
87,Barstow,4,shrub,27,,,,,added
87,Barstow,4,open,27,,,,,added
88,Barstow,4,shrub,28,,0.0168,,,ambient
88,Barstow,4,open,28,,0.0099,,,ambient
89,Barstow,4,shrub,29,,,,,added
89,Barstow,4,open,29,,,,,added
90,Barstow,4,shrub,30,,,,,ambient
90,Barstow,4,open,30,,,,,ambient
91,MojavePreserve,5,shrub,1,0.258,,,,added
91,MojavePreserve,5,open,1,0.0186,0.0491,0.021,2.5082,added
92,MojavePreserve,5,shrub,2,,,,,ambient
92,MojavePreserve,5,open,2,,,,1.0816,ambient
93,MojavePreserve,5,shrub,3,,,,0.2178,added
93,MojavePreserve,5,open,3,,,0.3952,0.7781,added
94,MojavePreserve,5,shrub,4,0.0289,,,1.1505,ambient
94,MojavePreserve,5,open,4,,,,1.0323,ambient
95,MojavePreserve,5,shrub,5,0.1352,,,2.4496,added
95,MojavePreserve,5,open,5,,,,1.1517,added
96,MojavePreserve,5,shrub,6,0.121,0.0179,,2.0197,ambient
96,MojavePreserve,5,open,6,,,,,ambient
97,MojavePreserve,5,shrub,7,0.4194,,,2.4169,added
97,MojavePreserve,5,open,7,0.016,,,3.0533,added
98,MojavePreserve,5,shrub,8,,,,1.775,ambient
98,MojavePreserve,5,open,8,,,0.0544,0.8499,ambient
99,MojavePreserve,5,shrub,9,,,,2.6382,added
99,MojavePreserve,5,open,9,,,,1.2184,added
100,MojavePreserve,5,shrub,10,0.0092,0.0084,,0.7273,ambient
100,MojavePreserve,5,open,10,0.0142,,,3.8085,ambient
101,MojavePreserve,5,shrub,11,0.4948,,,,added
101,MojavePreserve,5,open,11,0.2304,,0.098,6.2397,added
102,MojavePreserve,5,shrub,12,,,,2.6442,ambient
102,MojavePreserve,5,open,12,,,,1.7629,ambient
103,MojavePreserve,5,shrub,13,0.1256,,,0.2614,added
103,MojavePreserve,5,open,13,0.1469,,0.1194,0.6076,added
104,MojavePreserve,5,shrub,14,0.0691,,,1.7782,ambient
104,MojavePreserve,5,open,14,,0.0034,,1.10191,ambient
105,MojavePreserve,5,shrub,15,,,,2.0559,added
105,MojavePreserve,5,open,15,0.0467,0.02923,,1.4652,added
106,MojavePreserve,5,shrub,16,,,,2.1203,ambient
106,MojavePreserve,5,open,16,,,,1.2015,ambient
107,MojavePreserve,5,shrub,17,0.0173,0.0458,,1.169,added
107,MojavePreserve,5,open,17,,,,1.9549,added
108,MojavePreserve,5,shrub,18,0.5902,,,0.6023,ambient
108,MojavePreserve,5,open,18,0.0496,,,0.9631,ambient
109,MojavePreserve,5,shrub,19,0.016,,,2.2341,added
109,MojavePreserve,5,open,19,0.515,0.0846,0.0573,0.7979,added
110,MojavePreserve,5,shrub,20,,,,1.83,ambient
110,MojavePreserve,5,open,20,,,,,ambient
111,MojavePreserve,5,shrub,21,0.0287,,,2.7252,added
111,MojavePreserve,5,open,21,0.1389,,,0.8791,added
112,MojavePreserve,5,shrub,22,0.2847,,,2.0085,ambient
112,MojavePreserve,5,open,22,,,,0.5592,ambient
113,MojavePreserve,5,shrub,23,1.0634,,0.027,0.9758,added
113,MojavePreserve,5,open,23,,0.028,,0,added
114,MojavePreserve,5,shrub,24,,,,0,ambient
114,MojavePreserve,5,open,24,,,,0.3952,ambient
115,MojavePreserve,5,shrub,25,0.1642,0.0457,,0.2421,added
115,MojavePreserve,5,open,25,0.6708,0.1089,0.1245,,added
116,MojavePreserve,5,shrub,26,,,,,ambient
116,MojavePreserve,5,open,26,,,,,ambient
117,MojavePreserve,5,shrub,27,0.15,,,1.2388,added
117,MojavePreserve,5,open,27,,,,0.3837,added
118,MojavePreserve,5,shrub,28,0.2211,0.0391,,8.3171,ambient
118,MojavePreserve,5,open,28,,,,0,ambient
119,MojavePreserve,5,shrub,29,0.0641,,0.096,2.1855,added
119,MojavePreserve,5,open,29,,,,0,added
120,MojavePreserve,5,shrub,30,0.0557,0.1425,0.0622,1.3209,ambient
120,MojavePreserve,5,open,30,,,,0.3557,ambient
121,SheepholeValley,6,shrub,1,0.1103,,,,added
121,SheepholeValley,6,open,1,,,,,added
122,SheepholeValley,6,shrub,2,,,,,ambient
122,SheepholeValley,6,open,2,,,,0.766,ambient
123,SheepholeValley,6,shrub,3,,,,,added
123,SheepholeValley,6,open,3,0.0418,,,0.0643,added
124,SheepholeValley,6,shrub,4,,,,0.645,ambient
124,SheepholeValley,6,open,4,0.0316,,,0.9387,ambient
125,SheepholeValley,6,shrub,5,,,,,added
125,SheepholeValley,6,open,5,,,,,added
126,SheepholeValley,6,shrub,6,0.0951,,,,ambient
126,SheepholeValley,6,open,6,,,,0.7242,ambient
127,SheepholeValley,6,shrub,7,,,,0.0946,added
127,SheepholeValley,6,open,7,,,,,added
128,SheepholeValley,6,shrub,8,,,,,ambient
128,SheepholeValley,6,open,8,,,,0.4365,ambient
129,SheepholeValley,6,shrub,9,,,,0.7169,added
129,SheepholeValley,6,open,9,,,,0.7266,added
130,SheepholeValley,6,shrub,10,,,,,ambient
130,SheepholeValley,6,open,10,,,,0.356,ambient
131,SheepholeValley,6,shrub,11,,,,0.4178,added
131,SheepholeValley,6,open,11,,,,,added
132,SheepholeValley,6,shrub,12,,,,,ambient
132,SheepholeValley,6,open,12,,,,0.9407,ambient
133,SheepholeValley,6,shrub,13,,,,0.3405,added
133,SheepholeValley,6,open,13,,,,0.2589,added
134,SheepholeValley,6,shrub,14,,,,0.0984,ambient
134,SheepholeValley,6,open,14,,,,,ambient
135,SheepholeValley,6,shrub,15,,,,,added
135,SheepholeValley,6,open,15,,,,,added
136,SheepholeValley,6,shrub,16,,,,0.2261,ambient
136,SheepholeValley,6,open,16,,,,0.2104,ambient
137,SheepholeValley,6,shrub,17,,,,0.8813,added
137,SheepholeValley,6,open,17,,,,,added
138,SheepholeValley,6,shrub,18,,,0.0444,0.2825,ambient
138,SheepholeValley,6,open,18,,,,,ambient
139,SheepholeValley,6,shrub,19,,,,0.5004,added
139,SheepholeValley,6,open,19,,,,0.3153,added
140,SheepholeValley,6,shrub,20,0.119,,,,ambient
140,SheepholeValley,6,open,20,,,,0.3726,ambient
141,SheepholeValley,6,shrub,21,,,,,added
141,SheepholeValley,6,open,21,,,,0.1453,added
142,SheepholeValley,6,shrub,22,,,0.0326,,ambient
142,SheepholeValley,6,open,22,,,,,ambient
143,SheepholeValley,6,shrub,23,,,,,added
143,SheepholeValley,6,open,23,,,,,added
144,SheepholeValley,6,shrub,24,,0.0128,,,ambient
144,SheepholeValley,6,open,24,,0.0037,,0.5515,ambient
145,SheepholeValley,6,shrub,25,,,,,added
145,SheepholeValley,6,open,25,,,,,added
146,SheepholeValley,6,shrub,26,,,,,ambient
146,SheepholeValley,6,open,26,,,,,ambient
147,SheepholeValley,6,shrub,27,,,,,added
147,SheepholeValley,6,open,27,,,,1.6416,added
148,SheepholeValley,6,shrub,28,,,,0.9494,ambient
148,SheepholeValley,6,open,28,,,,,ambient
149,SheepholeValley,6,shrub,29,,,,,added
149,SheepholeValley,6,open,29,,,,,added
150,SheepholeValley,6,shrub,30,,,,,ambient
150,SheepholeValley,6,open,30,,,,,ambient
151,Tecopa,7,shrub,1,,,,3.3679,added
151,Tecopa,7,open,1,,,,1.6275,added
152,Tecopa,7,shrub,2,0.0246,0.0201,0.0173,0.4133,ambient
152,Tecopa,7,open,2,,,,0.4405,ambient
153,Tecopa,7,shrub,3,,,,1.6219,added
153,Tecopa,7,open,3,,0.0377,0.0189,,added
154,Tecopa,7,shrub,4,0.0056,,0.004,0.7922,ambient
154,Tecopa,7,open,4,,,,0.2174,ambient
155,Tecopa,7,shrub,5,0.0892,0.0063,,0.4858,added
155,Tecopa,7,open,5,,,0.0204,0.4447,added
156,Tecopa,7,shrub,6,0.0256,,0.0013,1.2659,ambient
156,Tecopa,7,open,6,,,,0.5023,ambient
157,Tecopa,7,shrub,7,,0.0437,0.0128,0.3025,added
157,Tecopa,7,open,7,,,,1.0742,added
158,Tecopa,7,shrub,8,,0.0073,,3.1358,ambient
158,Tecopa,7,open,8,,,,0.2765,ambient
159,Tecopa,7,shrub,9,,0.009,,1.5787,added
159,Tecopa,7,open,9,,,0.016,0.5211,added
160,Tecopa,7,shrub,10,,,0.0215,1.1088,ambient
160,Tecopa,7,open,10,0.0119,,,0.3992,ambient
161,Tecopa,7,shrub,11,,0.0334,0.0228,1.6263,added
161,Tecopa,7,open,11,,,,0.6122,added
162,Tecopa,7,shrub,12,,,,1.2459,ambient
162,Tecopa,7,open,12,,,,,ambient
163,Tecopa,7,shrub,13,,,,1.8641,added
163,Tecopa,7,open,13,,,,0.6229,added
164,Tecopa,7,shrub,14,,,,1.0131,ambient
164,Tecopa,7,open,14,,,0.0486,0.2855,ambient
165,Tecopa,7,shrub,15,,,,3.078,added
165,Tecopa,7,open,15,,0.0136,,0.07291,added
166,Tecopa,7,shrub,16,,,0.0558,1.0664,ambient
166,Tecopa,7,open,16,,,,0.6676,ambient
167,Tecopa,7,shrub,17,,,,2.1467,added
167,Tecopa,7,open,17,,,,0.7402,added
168,Tecopa,7,shrub,18,,0.0006,,0.9651,ambient
168,Tecopa,7,open,18,,,0.0663,0.2864,ambient
169,Tecopa,7,shrub,19,1.7025,0.4072,,,added
169,Tecopa,7,open,19,,,,0.3993,added
170,Tecopa,7,shrub,20,,,,0.7029,ambient
170,Tecopa,7,open,20,,,0.1859,,ambient
171,Tecopa,7,shrub,21,,,,1.6097,added
171,Tecopa,7,open,21,,,,1.0825,added
172,Tecopa,7,shrub,22,0.057,,0.0119,1.4807,ambient
172,Tecopa,7,open,22,,,,1.2186,ambient
173,Tecopa,7,shrub,23,,,,2.2545,added
173,Tecopa,7,open,23,,,,0.3326,added
174,Tecopa,7,shrub,24,,,,3.4926,ambient
174,Tecopa,7,open,24,,,,0.2245,ambient
175,Tecopa,7,shrub,25,,,,0.936,added
175,Tecopa,7,open,25,,,,0.7306,added
176,Tecopa,7,shrub,26,,,,2.4041,ambient
176,Tecopa,7,open,26,,,,0.5732,ambient
177,Tecopa,7,shrub,27,,,,3.1762,added
177,Tecopa,7,open,27,,,,0.5081,added
178,Tecopa,7,shrub,28,,,,,ambient
178,Tecopa,7,open,28,,,,,ambient
179,Tecopa,7,shrub,29,,,,0.7709,added
179,Tecopa,7,open,29,,,,0.9884,added
180,Tecopa,7,shrub,30,,,,1.4198,ambient
180,Tecopa,7,open,30,,,,,ambient
181,TejonRanch,3,shrub,1,,,0.0062,2.5916,added
181,TejonRanch,3,open,1,,,,2.6577,added
182,TejonRanch,3,shrub,2,,0.0069,0.0355,0.5022,ambient
182,TejonRanch,3,open,2,,,,0.5036,ambient
183,TejonRanch,3,shrub,3,,,0.2326,0.7591,added
183,TejonRanch,3,open,3,,,,0.5133,added
184,TejonRanch,3,shrub,4,,,,0.2446,ambient
184,TejonRanch,3,open,4,,,,3.4263,ambient
185,TejonRanch,3,shrub,5,,,1.2169,2.0623,added
185,TejonRanch,3,open,5,,,0.1092,0.827,added
186,TejonRanch,3,shrub,6,,,0.0896,2.4988,ambient
186,TejonRanch,3,open,6,,,,0.4714,ambient
187,TejonRanch,3,shrub,7,,,,1.6388,added
187,TejonRanch,3,open,7,,,,0.4106,added
188,TejonRanch,3,shrub,8,,,0.1385,0.3967,ambient
188,TejonRanch,3,open,8,,,,0.4848,ambient
189,TejonRanch,3,shrub,9,0.0503,,0.334,0.6642,added
189,TejonRanch,3,open,9,,,1.3313,3.3951,added
190,TejonRanch,3,shrub,10,,,0.6993,3.2802,ambient
190,TejonRanch,3,open,10,,,0.1069,0.81343,ambient
191,TejonRanch,3,shrub,11,,,0.1494,0.5758,added
191,TejonRanch,3,open,11,,,0.446,1.692,added
192,TejonRanch,3,shrub,12,,,,0.4287,ambient
192,TejonRanch,3,open,12,,,0.0951,0.4639,ambient
193,TejonRanch,3,shrub,13,,,0.2173,0.8295,added
193,TejonRanch,3,open,13,,,7.0101,2.3378,added
194,TejonRanch,3,shrub,14,,,0.2699,0.6144,ambient
194,TejonRanch,3,open,14,,,0.5737,1.1901,ambient
195,TejonRanch,3,shrub,15,,,0.026,2.1233,added
195,TejonRanch,3,open,15,,,,0.264,added
196,TejonRanch,3,shrub,16,,,0.184,0.2126,ambient
196,TejonRanch,3,open,16,,,0.0933,0.7669,ambient
197,TejonRanch,3,shrub,17,0.6932,,0.1186,1.2717,added
197,TejonRanch,3,open,17,,,,2.1555,added
198,TejonRanch,3,shrub,18,,,,0.6808,ambient
198,TejonRanch,3,open,18,,,0.0396,0.576,ambient
199,TejonRanch,3,shrub,19,,,0.566,1.7183,added
199,TejonRanch,3,open,19,,,0.1255,0.5453,added
200,TejonRanch,3,shrub,20,,0.0492,0.4603,1.1417,ambient
200,TejonRanch,3,open,20,,,,0.757,ambient
201,TejonRanch,3,shrub,21,,,,1.952,added
201,TejonRanch,3,open,21,,,0.4768,1.6906,added
202,TejonRanch,3,shrub,22,,,,1.0318,ambient
202,TejonRanch,3,open,22,,0.0353,0.0607,0.5285,ambient
203,TejonRanch,3,shrub,23,,,,0.4415,added
203,TejonRanch,3,open,23,,,,1.656,added
204,TejonRanch,3,shrub,24,,,0.0399,0.4461,ambient
204,TejonRanch,3,open,24,0.0202,,0.2364,0.5989,ambient
205,TejonRanch,3,shrub,25,,,0.6121,1.4949,added
205,TejonRanch,3,open,25,,,,0.4867,added
206,TejonRanch,3,shrub,26,,,,0.5435,ambient
206,TejonRanch,3,open,26,,,0.0893,0.2589,ambient
207,TejonRanch,3,shrub,27,,,0.0654,3.287,added
207,TejonRanch,3,open,27,,,,0.5916,added
208,TejonRanch,3,shrub,28,,,0.0349,0.2765,ambient
208,TejonRanch,3,open,28,,,,0.2691,ambient
209,TejonRanch,3,shrub,29,,,0.0279,0.8064,added
209,TejonRanch,3,open,29,,,,0.8468,added
210,TejonRanch,3,shrub,30,,,0.0195,0.6401,ambient
210,TejonRanch,3,open,30,,,0.0191,0.4026,ambient
